txn_id,timestamp,customer_id,amount,channel,city
1,2024-06-04T23:58:00,10056,224.47,Online,Hyderabad
2,2024-06-22T17:27:00,10050,266.83,Store,Hyderabad
3,2024-06-23T07:11:00,10000,453.63,Store,Pune
4,2024-06-30T14:28:00,10021,142.78,Online,Kolkata
5,2024-06-10T09:42:00,10122,421.27,Online,Kolkata
6,2024-06-30T06:30:00,10085,315.52,Online,Kolkata
7,2024-06-22T09:53:00,10102,184.66,Online,Bengaluru
8,2024-06-09T01:41:00,10032,210.46,Online,Bengaluru
9,2024-06-28T05:19:00,10119,271.45,Online,Ahmedabad
10,2024-07-01T05:54:00,10089,170.64,Online,Bengaluru
11,2024-06-02T07:22:00,10003,263.36,Online,Bengaluru
12,2024-06-21T01:50:00,10049,411.45,Online,Mumbai
13,2024-06-12T19:04:00,10054,138.88,Store,Hyderabad
14,2024-06-28T00:32:00,10083,222.11,Store,Kolkata
15,2024-06-07T07:10:00,10015,132.17,Store,Ahmedabad
16,2024-06-27T21:10:00,10132,198.42,Store,Bengaluru
17,2024-06-25T12:53:00,10038,218.64,Online,Ahmedabad
18,2024-06-09T16:00:00,10001,325.65,Online,Bengaluru
19,2024-06-07T18:37:00,10121,50.0,Online,Mumbai
20,2024-06-16T04:03:00,10132,89.04,Store,Delhi
21,2024-06-26T19:59:00,10014,462.26,Online,Hyderabad
22,2024-06-13T22:28:00,10010,267.86,Online,Ahmedabad
23,2024-06-26T21:33:00,10007,305.69,Online,Ahmedabad
24,2024-06-16T03:39:00,10129,399.83,Online,Chennai
25,2024-06-21T22:04:00,10130,50.0,Store,Hyderabad
26,2024-06-25T03:29:00,10066,113.29,Online,Ahmedabad
27,2024-06-07T13:47:00,10106,439.71,Online,Kolkata
28,2024-06-21T10:54:00,10080,127.25,Online,Hyderabad
29,2024-06-20T19:51:00,10018,213.57,Online,Chennai
30,2024-06-06T21:38:00,10039,308.04,Store,Bengaluru
31,2024-06-12T20:27:00,10035,185.32,Store,Hyderabad
32,2024-06-05T14:48:00,10101,128.47,Store,Bengaluru
33,2024-06-11T12:21:00,10041,281.39,Store,Kolkata
34,2024-06-16T18:24:00,10107,568.47,Online,Pune
35,2024-06-15T19:54:00,10023,199.21,Store,Mumbai
36,2024-06-16T17:09:00,10141,238.94,Store,Ahmedabad
37,2024-06-02T03:45:00,10098,109.29,Store,Chennai
38,2024-06-24T15:31:00,10016,221.47,Online,Hyderabad
39,2024-06-06T02:26:00,10021,169.25,Store,Chennai
40,2024-06-03T03:14:00,10046,310.88,Store,Bengaluru
41,2024-06-20T13:12:00,10066,158.22,Store,Bengaluru
42,2024-06-25T18:06:00,10131,326.33,Store,Pune
43,2024-06-05T09:42:00,10071,298.25,Online,Bengaluru
44,2024-06-20T16:33:00,10018,136.59,Store,Mumbai
45,2024-06-30T04:58:00,10022,142.1,Store,Delhi
46,2024-06-29T00:17:00,10056,78.09,Online,Chennai
47,2024-06-06T20:54:00,10116,110.62,Online,Pune
48,2024-06-26T12:05:00,10106,218.91,Store,Bengaluru
49,2024-06-03T07:11:00,10134,201.44,Online,Delhi
50,2024-06-08T16:20:00,10067,421.26,Online,Bengaluru
51,2024-06-10T12:23:00,10079,409.56,Store,Hyderabad
52,2024-06-14T12:42:00,10114,213.0,Online,Chennai
53,2024-06-17T03:01:00,10004,241.78,Store,Mumbai
54,2024-06-02T00:45:00,10004,222.12,Online,Ahmedabad
55,2024-06-12T12:20:00,10114,615.24,Online,Kolkata
56,2024-07-01T05:05:00,10126,123.34,Store,Chennai
57,2024-06-11T03:02:00,10058,348.22,Store,Hyderabad
58,2024-06-30T06:39:00,10035,179.62,Store,Pune
59,2024-06-03T19:24:00,10033,85.99,Online,Delhi
60,2024-06-29T19:09:00,10065,52.21,Store,Bengaluru
61,2024-06-03T20:30:00,10021,194.71,Store,Chennai
62,2024-06-28T14:01:00,10062,178.16,Store,Mumbai
63,2024-06-22T05:50:00,10047,283.41,Online,Chennai
64,2024-06-21T14:57:00,10000,213.68,Store,Pune
65,2024-06-16T07:16:00,10140,95.72,Store,Hyderabad
66,2024-06-02T21:37:00,10079,255.56,Online,Pune
67,2024-06-09T15:50:00,10000,141.25,Store,Kolkata
68,2024-06-05T03:37:00,10121,195.76,Store,Hyderabad
69,2024-06-12T15:04:00,10129,269.06,Online,Delhi
70,2024-06-13T08:32:00,10022,233.73,Online,Kolkata
71,2024-06-28T00:56:00,10010,283.57,Store,Mumbai
72,2024-06-14T23:17:00,10077,176.81,Online,Delhi
73,2024-06-27T23:36:00,10135,159.67,Online,Kolkata
74,2024-06-16T04:13:00,10126,90.77,Online,Chennai
75,2024-06-29T11:47:00,10037,261.06,Online,Kolkata
76,2024-06-24T08:11:00,10035,177.16,Online,Hyderabad
77,2024-06-05T04:56:00,10007,98.89,Online,Bengaluru
78,2024-06-30T07:54:00,10092,142.4,Online,Kolkata
79,2024-06-21T21:02:00,10142,106.09,Online,Mumbai
80,2024-06-29T20:00:00,10136,144.37,Online,Ahmedabad
81,2024-06-13T08:07:00,10000,472.76,Store,Delhi
82,2024-06-24T05:22:00,10137,50.0,Online,Delhi
